iter	RMSE
0	42.71507264
1	41.99060676
2	41.32432004
3	40.71231291
4	40.14996382
5	39.63637602
6	39.16217692
7	38.72625764
8	38.32888415
9	37.96765765
10	37.62923132
11	37.32269112
12	37.04138616
13	36.78826169
14	36.55336967
15	36.33988493
16	36.14543406
17	35.9665332
18	35.80452147
19	35.65460336
20	35.5186756
21	35.39097084
22	35.27676858
23	35.17360573
24	35.07813662
25	34.99178808
26	34.91185161
27	34.83909383
28	34.77314946
29	34.70931579
30	34.65296882
31	34.6010685
32	34.55710759
33	34.51423795
34	34.47233059
35	34.43552959
36	34.39758042
37	34.36150256
38	34.3236118
39	34.28979237
40	34.25888584
41	34.23537096
42	34.20897018
43	34.18206034
44	34.15912688
45	34.13905907
46	34.12195285
47	34.10741852
48	34.09061519
49	34.07362602
50	34.05912839
51	34.04470454
52	34.03046687
53	34.01768162
54	34.00612498
55	33.98878943
56	33.97931831
57	33.96739558
58	33.95894521
59	33.94556127
60	33.93587813
61	33.92535634
62	33.91523106
63	33.90655451
64	33.89499571
65	33.88683963
66	33.88018246
67	33.87160942
68	33.86468541
69	33.8548737
70	33.84979871
71	33.84413681
72	33.83842225
73	33.83266168
74	33.82727692
75	33.8214244
76	33.81475534
77	33.80596318
78	33.80104748
79	33.79695287
80	33.79333016
81	33.78778706
82	33.7833644
83	33.77566537
84	33.77007466
85	33.76300173
86	33.75823334
87	33.75546844
88	33.75149942
89	33.7479704
90	33.74415005
91	33.73789262
92	33.73171406
93	33.72676094
94	33.72288063
95	33.71940523
96	33.71587363
97	33.71281593
98	33.7074522
99	33.70171267
100	33.69802548
101	33.69543067
102	33.69172616
103	33.68889178
104	33.68602054
105	33.68285089
106	33.67741055
107	33.67298036
108	33.67054026
109	33.66696044
110	33.66254496
111	33.65832154
112	33.65573186
113	33.65159373
114	33.64916368
115	33.64528211
116	33.64175538
117	33.63831275
118	33.63425029
119	33.63080073
120	33.62838252
121	33.62646638
122	33.62310542
123	33.62061246
124	33.61789723
125	33.61460421
126	33.61192509
127	33.61024589
128	33.60812295
129	33.60581961
130	33.6031024
131	33.60077748
132	33.59825072
133	33.59614783
134	33.59426929
135	33.59258904
136	33.59042639
137	33.58719668
138	33.58567583
139	33.58289917
140	33.58074108
141	33.57783148
142	33.57631972
143	33.57379511
144	33.57220082
145	33.5700942
146	33.56801948
147	33.56640858
148	33.56477415
149	33.56260718
150	33.56153535
151	33.55917064
152	33.55796558
153	33.55644748
154	33.55518309
155	33.55390713
156	33.55258008
157	33.55068828
158	33.54915729
159	33.546911
160	33.5447935
161	33.54392447
162	33.54154903
163	33.53995584
164	33.53925274
165	33.53816185
166	33.53712324
167	33.53565961
168	33.53361769
169	33.53245505
170	33.53098289
171	33.52910646
172	33.5275668
173	33.52609701
174	33.52544386
175	33.52370392
176	33.52277425
177	33.52177746
178	33.52064666
179	33.5190159
180	33.51833156
181	33.51677738
182	33.5150013
183	33.51396131
184	33.51295252
185	33.51095356
186	33.50894972
187	33.50781949
188	33.50702321
189	33.50631904
190	33.50468314
191	33.50310671
192	33.50195087
193	33.50044974
194	33.49936048
195	33.49854564
196	33.4966024
197	33.49497982
198	33.49357154
199	33.49213769
200	33.49178026
201	33.49117575
202	33.48969877
203	33.48891119
204	33.48720731
205	33.48590291
206	33.48426977
207	33.48273734
208	33.48133308
209	33.48042325
210	33.47995125
211	33.4777529
212	33.47704287
213	33.47576888
214	33.47478959
215	33.4739879
216	33.47310582
217	33.47187186
218	33.47137359
219	33.47084837
220	33.46879112
221	33.4681054
222	33.46701894
223	33.46561023
224	33.46439341
225	33.46376328
226	33.4631147
227	33.46211943
228	33.46063472
229	33.45904893
230	33.4583498
231	33.45738912
232	33.45690106
233	33.45610211
234	33.45476504
235	33.45376219
236	33.45300695
237	33.45238277
238	33.4514352
239	33.45074477
240	33.45022347
241	33.4491996
242	33.44882862
243	33.44811165
244	33.44746557
245	33.44677304
246	33.44552883
247	33.44453216
248	33.44319697
249	33.44200858
250	33.44130391
251	33.43973292
252	33.43834726
253	33.436604
254	33.43629507
255	33.43586178
256	33.43529623
257	33.43506947
258	33.43384829
259	33.43294923
260	33.43204006
261	33.43063412
262	33.42998868
263	33.42922152
264	33.42843087
265	33.4277882
266	33.42593838
267	33.42494845
268	33.42344396
269	33.42197445
270	33.42034696
271	33.41973593
272	33.41887094
273	33.41816012
274	33.41777251
275	33.41647149
276	33.416011
277	33.41558881
278	33.4138853
279	33.41248769
280	33.41151101
281	33.41058747
282	33.40971962
283	33.40907623
284	33.40783316
285	33.40768449
286	33.40663503
287	33.40619214
288	33.40427489
289	33.40373123
290	33.403004
291	33.40182632
292	33.40081518
293	33.40027971
294	33.39997815
295	33.39908639
296	33.39843563
297	33.3966869
298	33.39642007
299	33.39612068
300	33.39565168
301	33.39419432
302	33.39348083
303	33.39219224
304	33.39131936
305	33.38956798
306	33.38887001
307	33.38885925
308	33.38871756
309	33.38848532
310	33.38762441
311	33.38710018
312	33.38558675
313	33.38557957
314	33.38400628
315	33.38361197
316	33.38226401
317	33.38121205
318	33.38009932
319	33.37920233
320	33.37766779
321	33.37709489
322	33.37678616
323	33.37588892
324	33.37552098
325	33.37529268
326	33.3745769
327	33.37325549
328	33.37270125
329	33.37130789
330	33.37082632
331	33.37075556
332	33.36980764
333	33.36864054
334	33.36730317
335	33.36631467
336	33.36578753
337	33.36568115
338	33.36498127
339	33.36375843
340	33.36322
341	33.36235017
342	33.36142736
343	33.36024793
344	33.35965067
345	33.35931441
346	33.35924976
347	33.35874463
348	33.35732665
349	33.35608778
350	33.3552162
351	33.35395159
352	33.35377188
353	33.35255114
354	33.35238411
355	33.35189807
356	33.35183621
357	33.35103029
358	33.35052694
359	33.34963353
360	33.34842676
361	33.34746346
362	33.34726735
363	33.34575718
364	33.34446052
365	33.34440259
366	33.34370987
367	33.3436892
368	33.34363578
369	33.34272648
370	33.34132901
371	33.34033697
372	33.34028782
373	33.33911448
374	33.33840432
375	33.3377841
376	33.33676943
377	33.33631679
378	33.33549004
379	33.33428512
380	33.3330584
381	33.3319593
382	33.33194886
383	33.33152033
384	33.33137876
385	33.33054784
386	33.33028801
387	33.32981466
388	33.32856986
389	33.32744286
390	33.32581638
391	33.32542829
392	33.32426032
393	33.32343298
394	33.32341402
395	33.3233569
396	33.32223377
397	33.32221557
398	33.32084555
399	33.32000893
400	33.31899531
401	33.31898693
402	33.31808065
403	33.31750862
404	33.3166374
405	33.31542672
406	33.31537193
407	33.31502962
408	33.31502151
409	33.31386319
410	33.31265144
411	33.3115788
412	33.3114455
413	33.31056391
414	33.31001099
415	33.3096633
416	33.30878586
417	33.3081285
418	33.30701514
419	33.30588201
420	33.30479652
421	33.30373767
422	33.30373002
423	33.30372281
424	33.30260894
425	33.30175075
426	33.30123098
427	33.30122427
428	33.30094564
429	33.30093959
430	33.29970321
431	33.29935528
432	33.29778687
433	33.29768989
434	33.29759838
435	33.29729739
436	33.29653306
437	33.29589125
438	33.29553266
439	33.29535702
440	33.29477541
441	33.29405541
442	33.29398917
443	33.29340701
444	33.29251477
445	33.29246507
446	33.29113083
447	33.29110798
448	33.2904403
449	33.2903297
450	33.28928209
451	33.28890106
452	33.2879712
453	33.2872828
454	33.28715905
455	33.28712758
456	33.28619884
457	33.28531477
458	33.28413755
459	33.28389429
460	33.28359997
461	33.28312184
462	33.28282999
463	33.28212495
464	33.28140736
465	33.2808715
466	33.28009371
467	33.27966651
468	33.2782341
469	33.27820148
470	33.27754556
471	33.27738651
472	33.27668196
473	33.27639677
474	33.27590709
475	33.27588785
476	33.27545012
477	33.27496033
478	33.27416335
479	33.27415762
480	33.27415136
481	33.27314275
482	33.27272629
483	33.27221607
484	33.27221008
485	33.27119465
486	33.27071245
487	33.27010743
488	33.26915076
489	33.26910642
490	33.26895944
491	33.26895392
492	33.26867304
493	33.26815563
494	33.26786597
495	33.26721527
496	33.26721049
497	33.26637307
498	33.26554876
499	33.26512744
