feature,importance
actual_available_turnaround_min,51.63732977636036
upstream_arr_delay_min,18.70681013857025
turnaround_airport,7.1532931947187075
scheduled_turnaround_min,6.0139713820405385
next_dep_hour,5.555674665414012
month,4.505377532166409
dest_j,3.227208080643106
crs_elapsed_time_j,2.197576901389401
day_of_week,1.0027583286972563
